wl;00_background;01_m_c;01_m_q;02_m_c;02_m_q;03_m_c;03_m_q
612;8.626715544;14.44625469;33.93595092;24.83877193;17.80304143;48.76657296;30.42302129
613;8.640650054;14.45530071;33.87357984;24.86768907;17.76742946;48.79941954;30.38009814
614;8.65448149;14.4624563;33.81064287;24.8936204;17.73116157;48.82940759;30.3355608
615;8.667704814;14.46721255;33.74727252;24.91671392;17.69345854;48.85516857;30.28881623
616;8.680422018;14.46996299;33.68345483;24.93739533;17.6545604;48.87746478;30.24014023
617;8.692735095;14.47110116;33.61917582;24.95609033;17.61470717;48.89705855;30.18980856
618;8.704746038;14.47102061;33.55442152;24.9732246;17.57413887;48.91471221;30.13809701
619;8.716556841;14.47011487;33.48917797;24.98922384;17.53309553;48.93118807;30.08528134
620;8.728269496;14.4687775;33.42343119;25.00451373;17.49181717;48.94724846;30.03163734
621;8.739985997;14.46740203;33.35716722;25.01951998;17.45054381;48.96365569;29.97744079
622;8.751808336;14.46638199;33.29037208;25.03466827;17.40951548;48.9811721;29.92296745
623;8.763838506;14.46611094;33.22303181;25.0503843;17.36897219;49.00055999;29.86849311
624;8.776178501;14.46698242;33.15513244;25.06709376;17.32915397;49.0225817;29.81429354
625;8.788930313;14.46938995;33.08665999;25.08522235;17.29030084;49.04799953;29.76064452
626;8.80214367;14.47105133;33.01689417;25.10147582;17.25113367;49.07250139;29.70586759
627;8.815737915;14.46978423;32.94530392;25.11286414;17.21040354;49.09195165;29.64837739
628;8.829619468;14.46613204;32.87215915;25.12026928;17.16839586;49.10737733;29.58858939
629;8.843694746;14.46063818;32.79772978;25.12457322;17.12539601;49.11980548;29.52691901
630;8.857870169;14.45384603;32.72228572;25.12665792;17.08168937;49.13026313;29.46378171
631;8.872052155;14.446299;32.64609688;25.12740535;17.03756133;49.13977732;29.39959293
632;8.886147123;14.43854048;32.56943316;25.1276975;16.99329728;49.14937509;29.33476812
633;8.900061491;14.43111388;32.49256448;25.12841633;16.9491826;49.16008347;29.26972272
634;8.913701678;14.4245626;32.41576075;25.13044381;16.90550269;49.1729295;29.20487218
635;8.926974103;14.41943003;32.33929189;25.13466192;16.86254293;49.18894023;29.14063194
636;8.939785184;14.41625957;32.26342779;25.14195263;16.82058871;49.20914267;29.07741745
637;8.95204134;14.41559463;32.18843838;25.15319792;16.77992541;49.23456388;29.01564416
638;8.963648989;14.41797859;32.11459355;25.16927974;16.74083842;49.26623089;28.9557275
639;8.974513179;14.42125745;32.04031223;25.18632619;16.70238187;49.30020178;28.89589178
640;8.984687123;14.42317092;31.96408899;25.20039434;16.66350686;49.33229402;28.83430815
641;8.99429949;14.42410308;31.88630728;25.21225974;16.62434426;49.36317367;28.77131231
642;9.003478949;14.42443796;31.80735056;25.22269789;16.58502491;49.3935068;28.70723999
643;9.012354169;14.42455962;31.72760228;25.23248431;16.54567967;49.4239595;28.64242688
644;9.021053818;14.4248521;31.64744588;25.24239453;16.50643939;49.45519784;28.57720872
645;9.029706565;14.42569946;31.56726481;25.25320406;16.46743493;49.48788788;28.51192121
646;9.038441079;14.42748575;31.48744252;25.26568843;16.42879714;49.52269572;28.44690007
647;9.047386029;14.43059501;31.40836245;25.28062316;16.39065687;49.56028741;28.38248101
648;9.056670084;14.43541129;31.33040807;25.29878376;16.35314498;49.60132904;28.31899974
649;9.066421912;14.44231865;31.25396282;25.32094576;16.31639232;49.64648668;28.25679199
650;9.076770183;14.45170114;31.17941014;25.34788467;16.28052975;49.69642641;28.19619346
651;9.086801509;14.46289172;31.10582339;25.37815693;16.24539487;49.75047691;28.13657724
652;9.095691975;14.47495418;31.03207336;25.40979741;16.21071861;49.8073725;28.07709288
653;9.103704454;14.48786875;30.9582396;25.44279928;16.17647179;49.86688774;28.01774081
654;9.111101817;14.50161567;30.88440169;25.47715572;16.14262524;49.92879716;27.95852146
655;9.118146938;14.5161752;30.81063919;25.51285989;16.10914979;49.9928753;27.89943527
656;9.125102689;14.53152756;30.73703166;25.54990499;16.07601626;50.05889671;27.84048267
657;9.132231942;14.54765301;30.66365869;25.58828417;16.04319548;50.12663593;27.78166409
658;9.139797571;14.56453178;30.59059982;25.62799063;16.01065827;50.1958675;27.72297995
659;9.148062447;14.58214411;30.51793463;25.66901752;15.97837546;50.26636597;27.6644307
660;9.157289444;14.60047026;30.44574269;25.71135803;15.94631788;50.33790587;27.60601675
